tSNE1,tSNE2,date
-3.7569928,-0.6276787,6/1/23
-3.4037786,-0.33270672,6/1/23
-1.0567675,-1.4187766,6/1/23
-2.1444087,-2.3492703,6/1/23
-3.0202138,-4.5204302e-05,6/1/23
-2.983608,-0.6227263,6/1/23
-2.9028482,-0.79837304,6/1/23
-0.9662151,0.8555052,6/1/23
-0.94614804,0.6943338,6/1/23
-0.34446537,-0.3208412,6/1/23
-2.9336698,-1.1674385,6/1/23
-3.29501,-1.6217817,6/1/23
-3.0616186,1.8074795,6/1/23
-3.0141103,1.632793,6/1/23
-2.9695609,1.5550636,6/1/23
-1.0216897,0.42994785,6/1/23
-1.4189684,0.06757387,6/1/23
-1.6343629,-0.34973827,6/1/23
-1.6450819,-0.7928343,6/1/23
-2.2926009,-1.3488059,6/1/23
-2.5496633,0.46014988,6/1/23
-2.0070314,0.010901779,6/1/23
-1.0331818,-1.4350798,6/1/23
-2.0779512,-1.0398353,6/1/23
-2.5935168,-0.44862866,6/1/23
-2.3269508,-0.18378101,6/1/23
-4.1621695,-0.73521507,6/1/23
-2.104128,-0.5346483,6/1/23
-2.6724365,0.6104753,6/1/23
-3.3027534,-0.7202613,6/1/23
