Latent Variable 1,Latent Variable 2,Date
0.9182797,1.5806699,8/1/23
-2.316707,0.81737816,8/1/23
1.6266947,4.375773,8/1/23
-2.3720224,4.2974997,8/1/23
1.4215463,1.7919642,8/1/23
3.2078917,-0.75025356,8/1/23
-1.3385248,1.2639649,8/1/23
-0.9150149,-0.857318,8/1/23
0.1486255,2.4459531,8/1/23
0.8704277,2.2248638,8/1/23
0.13410336,-1.3420956,8/1/23
0.6001274,-0.5341864,8/1/23
1.0583167,-0.8525636,8/1/23
1.9547074,-0.049734324,8/1/23
-1.6314783,1.5899538,8/1/23
3.4571588,-0.6874969,8/1/23
-1.8909752,-3.5554066,8/1/23
0.5332543,1.2033123,8/1/23
0.33822888,-1.2373215,8/1/23
0.49493384,-2.952471,8/1/23
3.212202,-1.0507032,8/1/23
1.2352924,-1.8214157,8/1/23
0.60602623,-1.4411244,8/1/23
2.534591,3.2492938,8/1/23
-0.001101017,0.035966367,8/1/23
-0.8140546,-2.0325649,8/1/23
-1.9352486,1.1655952,8/1/23
-1.1439507,-0.8387524,8/1/23
-0.22375749,2.9244764,8/1/23
-3.3843255,2.0978148,8/1/23
7.7155523,3.8478785,2/1/24
5.356108,3.1518445,2/1/24
5.84526,1.4758369,2/1/24
6.5478535,1.2904129,2/1/24
3.5030258,0.206056,2/1/24
7.310807,0.8206614,2/1/24
7.8780684,1.0656486,2/1/24
4.0783544,3.2739298,2/1/24
5.211089,3.3617942,2/1/24
7.798299,6.022647,2/1/24
1.4567248,1.2707429,2/1/24
4.2115955,2.8022904,2/1/24
5.0264826,1.9477357,2/1/24
3.5754333,6.382063,2/1/24
4.899657,5.6094513,2/1/24
2.9555197,4.0847673,2/1/24
5.26216,1.1202705,2/1/24
1.1060483,4.044412,2/1/24
0.6849266,1.6716871,2/1/24
5.757396,2.4837933,2/1/24
5.822906,1.715111,2/1/24
6.501508,-0.15473598,2/1/24
3.5523627,5.4762125,2/1/24
0.8105502,5.0759187,2/1/24
3.623976,3.557156,2/1/24
7.9972267,1.0588522,2/1/24
3.844942,3.5382128,2/1/24
3.6930146,4.9609094,2/1/24
7.435376,6.263809,2/1/24
1.7774265,2.815714,6/1/23
1.4981351,0.9232109,6/1/23
-0.1555735,0.93402916,6/1/23
2.6783147,1.2042513,6/1/23
-1.5715947,4.8835664,6/1/23
3.7629263,-0.112116575,6/1/23
1.4682772,1.1184134,6/1/23
1.2791371,1.3126767,6/1/23
2.5036938,0.94850576,6/1/23
3.6102319,0.9133318,6/1/23
1.32652,0.35859084,6/1/23
-0.66655344,1.5025216,6/1/23
5.4920073,5.6163554,6/1/23
3.058664,3.2812753,6/1/23
3.0061388,0.66143155,6/1/23
1.0751699,1.4206969,6/1/23
-0.030543566,2.0784166,6/1/23
3.875876,0.6553566,6/1/23
-0.60614073,2.3602238,6/1/23
1.4216673,1.6333654,6/1/23
1.65854,2.494625,6/1/23
5.1588163,3.5349195,6/1/23
0.5148673,1.2012514,6/1/23
2.5995734,4.1140027,6/1/23
0.64064765,2.2368743,6/1/23
0.7510348,3.3360395,6/1/23
3.5942264,0.3975283,6/1/23
0.9820693,-0.4398125,6/1/23
2.3725774,3.2728105,6/1/23
1.310411,1.1701078,6/1/23
